Прайс ортопедия 2019,,
"Клиника эстетической стоматологии ""Совершенство""",,
код,Наименование,
,Консультация и составление плана лечения,"  800,00 ₽ "
,Повторный прием,0 ₽
"Металлокерамика (CoCr, Ti)",,
,Металлокерамическая коронка (СоCr) CAD/CAM,11 900 ₽
,Металлокерамическая коронка на имплантатах (СоCr) ,16 800 ₽
,Использование Титана за 1 единицу,3 500 ₽
,Металлокерамическая коронка на имплантатах винтовая фиксация (CoCr) CAD/CAM,24 000 ₽
,Десневая (плечевая) масса (CoCr),2 300 ₽
Культевые вкладки (CoCr),,
,Вкладка культевая (CoCr),5 200 ₽
,Вкладка культевая разборная (CoCr),6 500 ₽
,Литые коронки  (Cocr),
,Литая коронка (Cocr),6 200 ₽
Временные коронки (гарантия 1 месяц),,
,Временная коронка (изготовленная в клинике),2 400 ₽
Временные коронки (на имплантатах),,
,Временная коронка на имплантат (винтовая фиксация) до 6 ед.,5 500 ₽
Временные коронки (гарантия 1 год),,
,"Временная коронка длительного ношения PMMA, CAD/CAM",4 950 ₽
Съёмное протезирование акрил (Melio Dent),,
,Частичный съемный протез до 3 зубов в 1 сегменте,9 900 ₽
,Частичный съёмный протез от 4 до 7 зубов в 2 сегментах,15 000 ₽
,Полный съёмный протез (с восковым шаблоном и индивид. ложкой) акриловый ,22 000 ₽
,,
"Съёмное протезирование (Термопластмасса, Perflex)",,
,Частичный съёмный протез до 3-х зубов (Perflex T-crystal),17 500 ₽
,Частичный съёмный протез от 4 до 11 зубов (Perflex T-crystal),32 000 ₽
,,
Дуговые съёмные протезы,,
,Бюгельный протез с 2-мя кламмерами ,44 650 ₽
,Ацеталловый протез с кламмерами,63 000 ₽
,Бюгельный протез шинирующий (включая все шинирующие элементы),63 000 ₽
,Односторонний бюгельный протез на аттачменах (включая один фрезерный элемент),45 000 ₽
,Бюгельный протез на аттачменах (включая два фрезерных элемента),58 500 ₽
,Замена одной  матрицы,3 200 ₽
Балочные конструкции на имплантатах,,
,Балочная конструкция 1 см. (СоCr) SLM,16 800 ₽
,Все на 4   Оll-on-4  Nobel Biocare,
,1 этап : Установка 4 имплантов +  провизорный эстетический протез,238 000 ₽
,2 этап : Установка высокоэстетичного протеза  армированного  балкой,104 500 ₽
,2 этап : Установка высокоэстетичного протеза  армированного  балкой (PROCERA),184 500 ₽
,2 этап : Установка высокоэстетичного  Металлокерамического протеза на всю челюсть,316 000 ₽
,Телескопические коронки,
,Телескопическая коронка первичная (CoCr) ,10 000 ₽
,Телескопическая коронка вторичная  (CoCr),11 000 ₽
Абатменты,,
,Индивидуальный Титановый аббатмент (СAD\CAM),9 000 ₽
,Индивидуальный абатмент Zirconia включая титановое основание Impro ,12 000 ₽
,"Индивидуальный абатмент Zirconia (Astra Tech, Nobel) включая титановое онование",13 800 ₽
,"Стандартный аббатмент Ti (Astra Tech, Nobel)",11 000 ₽
NobelProcera (Швеция),,
,Индивидуальный абатмент Ti (AstraTech) NobelProcera,34000
,Индивидуальный абатмент Zirconia (AstraTech) NobelProcera с переходником MZ-адаптер,42000
,"Балочная конструкция (Ti), NobelProcera",дог.
,,
"Диоксид циркония (ZrO2, CAD/CAM)",,
,Культевая вкладка ZrO2 ,15 600 ₽
,Культевая вкладка ZrO2 с разборными штифтами  ,19 800 ₽
,Коронка ZrO2             ,24 200 ₽
,Винир ZrO2                                         ,22 000 ₽
,Коронка на имплантате ZrO2,30 000 ₽
,Коронка на имплантате ZrO2 (винтовая фиксация),34 000 ₽
,Десневая масса ZrO2 (плечевая),2 800 ₽
Пресс керамика (e.max Press Ivoclar Vivadent) метод наслоения,,
,Коронка e.max Press                      ,17 550 ₽
,,
,Винир e.max Press                        ,18 000 ₽
,Коронка на имплантате e.max Press,22 500 ₽
Каппы (Scheu dental),,
,Каппа для отбеливания (верхняя и нижняя челюсть 2 шт.),4 500 ₽
,Ортотик (вываренная пластмасса),12 000 ₽
,Шина от бруксизма Durasoft (двухслойная),4 000 ₽
Дополнительные услуги,,
,Силиконовый оттиск,1 500 ₽
,Починка протеза (линейный перелом),3 500 ₽
,Перенос  кламмера (замена),3 400 ₽
,Приварка одного зуба,3 000 ₽
,Починка протеза (армирование сеткой),5 200 ₽
,Перебазировка,3 000 ₽
,"Чистка и полировка съёмного,бюгельного протеза",2 000 ₽
,Армирование съёмного протеза  (литое CoCr) или сетка,10 800 ₽
